City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max_temp,Wind_speed
Rosarito,40,CO,1529589600,83,4.91,-75.23,23.0,2.1
Hermanus,8,ZA,1529591785,61,-34.42,19.24,16.12,6.26
Brandon,90,US,1529590800,87,43.59,-96.57,18.0,4.1
Filadelfia,0,PY,1529591785,48,-22.35,-60.04,29.12,4.66
Ribeira Grande,20,PT,1529589600,73,38.52,-28.7,23.0,2.6
Lexington,90,US,1529589300,88,38.05,-84.5,24.0,3.6
Tarko-Sale,88,RU,1529591786,90,64.92,77.78,15.27,5.01
Sebastian,1,US,1529589360,66,27.82,-80.47,32.0,3.1
Codrington,0,AU,1529591786,91,-28.95,153.24,9.27,2.16
Nelson Bay,90,AU,1529589600,100,-32.72,152.14,11.0,2.1
Boa Vista,90,BR,1529589600,88,2.82,-60.67,25.0,3.1
Moose Factory,1,CA,1529589600,50,51.26,-80.61,14.0,2.1
Ngunguru,64,NZ,1529591788,100,-35.62,174.5,14.92,10.31
Arraial do Cabo,0,BR,1529589600,73,-22.97,-42.02,25.0,2.1
Emba,40,CY,1529589600,69,34.81,32.42,27.0,5.7
Den Chai,20,TH,1529591788,98,17.98,100.06,22.47,0.96
Dongkan,88,CN,1529591788,66,34.0,119.83,21.92,4.66
Murray Bridge,48,AU,1529591788,100,-35.12,139.28,10.22,1.86
Jalu,0,LY,1529591788,23,29.03,21.55,38.37,3.41
Koupela,68,BF,1529591788,55,12.18,-0.35,33.97,1.61
Zhangye,24,CN,1529591789,60,38.94,100.46,18.77,1.61
Naze,75,NG,1529589600,88,5.43,7.07,26.0,3.6
Cidreira,0,BR,1529591789,65,-30.17,-50.22,24.17,6.91
Bayburt,48,TR,1529591789,72,40.26,40.22,16.37,1.06
Pavilosta,92,LV,1529590800,77,56.89,21.19,19.0,4.1
Kilindoni,48,TZ,1529591790,90,-7.91,39.67,27.07,6.81
The Pas,90,CA,1529589600,60,53.82,-101.24,23.0,2.6
